idAdjetivo,adjetivo,idCarta
1,gallesco,1
2,galloso,1
3,gallino,1
4,gallito,1
5,diabólico,2
6,endiablado,2
7,diabluno,2
8,diablesco,2
9,diabloso,2
10,damoso,3
11,damal,3
12,damuno,3
13,damesco,3
14,damino,3
15,catrín,4
16,catrinoso,4
17,catrinal,4
18,catrinuno,4
19,catrimesco,4
20,encatrinado,4
21,paragual,5
22,pargüil,5
23,paragüeño,5
24,paraguoso,5
25,paragüesco,5
26,paraguasado,5
27,sirenal,6
28,sirenoso,6
29,sirenesco,6
30,sirénico,6
31,sireniento,6
32,sirenil,6
33,sirenizado,6
34,escalérico,7
35,escaleroso,7
36,escaleril,7
37,escalerino,7
38,escalerado,7
39,embotellado,8
40,botelloso,8
41,botellesco,8
42,botellal,8
43,botelluzco,8
44,balonudo,9
45,baloneado,9
46,balonil,9
47,balonoso,9
48,balonesco,9
49,arbóreo,10
50,arbolesco,10
51,arboloso,10
52,arbolino,10
53,magistral,11
54,amaestrado,11
55,maestroso,11
56,maestrino,11
57,valiente,12
58,valeroso,12
59,envalentonado,12
60,gorroso,13
61,gorrino,13
62,gorril,13
63,gorroneado,13
64,mortal,14
65,mortífero,14
66,muerto,14
67,mortuorio,14
68,mortecino,14
69,burocrático,15
70,burocratoso,15
71,burocretino,15
72,burocratón,15
73,burocratizado,15
74,abanderado,16
75,banderal,16
76,banderáceo,16
77,banderuzco,16
78,métrico,17
79,metroso,17
80,metresco,17
81,metruno,17
82,ladrón,18
83,ladronal,18
84,ladronesco,18
85,paterno,19
86,paternal,19
87,padresco,19
88,pajaril,20
89,pajaresco,20
90,pajaruzco,20
91,pajaroso,20
92,pajarino,20
93,manual,21
94,manada,21
95,mandado,21
96,botado,22
97,botesco,22
98,botino,22
99,botal,22
100,lunar,23
101,lunático,23
102,lunario,23
103,lunesco,23
104,cotorro,24
105,cotorreado,24
106,cotorresco,24
107,cotorrón,24
108,borracho,25
109,emborrachado,25
110,borrachino,25
111,poético,26
112,poetizado,26
113,poetáceo,26
114,poetoso,26
115,poetible,26
116,poetil,26
117,poetal,26
118,poetario,26
119,cardiaco,27
120,descorazonado,27
121,corazonesco,27
122,corazonil,27
123,corazonizo,27
124,cigarroso,28
125,cigarresco,28
126,cigarril,28
127,acigarrado,28
128,cigarral,28
129,tamboril,29
130,tambórico,29
131,tamboresco,29
132,tamborino,29
133,tamboroso,29
134,materno,30
135,maternal,30
136,madresco,30
137,atómico,31
138,atomal,31
139,atomesco,31
140,musical,32
141,musicalizado,32
142,musicoso,32
143,musicalesco,32
144,perruno,33
145,aperrado,33
146,perro,33
147,perrón,33
148,computacional,34
149,computadorizado,34
150,computadoresco,34
151,libresco,35
152,libruno,35
153,libroso,35
154,cegado,36
155,ciego,36
156,cegatón,36
157,mundial,37
158,mundializado,37
159,mundesco,37
160,campestre,38
161,campirano,38
162,acampado,38
163,campal,38
164,circular,39
165,circulado,39
166,circulino,39
167,embarcado,40
168,barquesco,40
169,barcusco,40
170,barqueril,40
171,rosa,41
172,rosado,41
173,rosáceo,41
174,calavérico,42
175,calaverada,42
176,calaveresco,42
177,calaverario,42
178,calaverino,42
179,calaveruzco,42
180,telefónico,43
181,telefoneado,43
182,telefonesco,43
183,telefonal,43
184,doctoral,44
185,doctorado,44
186,doctoresco,44
187,gatuno,45
188,engatusado,45
189,gatoso,45
190,gatesco,45
191,soleado,46
192,solar,46
193,asoleado,46
194,coronado,47
195,coronal,47
196,coronil,47
197,coronesco,47
198,chalupesco,48
199,chalupano,48
200,chaluposo,48
201,aniñado,49
202,niñesco,49
203,niñoso,49
204,infantil,49
205,niñáceo,49
206,pescado,50
207,pescadesco,50
208,pescadil,50
209,pecesoso,50
210,pescadoso,50
211,pescadáceo,50
212,pecesesco,50
213,ciudadano,51
214,ciudadesco,51
215,citadino,51
216,bailarina,52
217,bailado,52
218,bailable,52
219,besado,53
220,besucón,53
221,besuqueado,53
222,besable,53
223,besoso,53
224,ranal,54
225,ranudo,54
226,ranoso,54
227,ranino,54
228,ranesco,54
229,ranil,54
