idCarta,nombre,descripcion,audioOGG,audioMP3,imgMazo,imgPlantilla,imgGaleria,longitud
1,gallo,"Tomado de la tradición oral mexicana. La referencia son las últimas líneas de una adivinanza: ""Tengo de rey la cabeza,\nCalzo espuela pavonada,\nLlevo barba colorada,\nMi sueño temprano empieza,\nY madrugo a la alborada."" Por lo general, este tipo de adivinanzas implican el reto de decodificar las metáforas, una por una, rumbo al significado global de la imagen presentada. Tienden a tener como respuesta un único elemento, sea concepto, animal o cosa.",,,/media/img/mazo/h_01_gallo.jpg,/media/img/plantilla/01_gallo.jpg,/media/img/galeria/g_01_gallo.jpg,5
2,diablo,"Tomado de Paraíso perdido, escrito por John Milton. (1608-1674). Poeta y ensayista, conocido principalmente por la obra de la que se extrajo el verso y de enorme importancia en la tradición de las letras inglesas. Su influencia política fue vasta y su pensamiento sirvió como referencia para la redacción de la constitución de los Estados Unidos de América.",,,/media/img/mazo/h_02_diablo.jpg,/media/img/plantilla/02_diablo.jpg,/media/img/galeria/g_02_diablo.jpg,6
3,dama,"Autor de la primera novela moderna, Miguel de Cervantes Saavedra (1547-1616) es, quizás, universalmente conocido. El ingenioso hidalgo don Quijote de la Mancha, proveyó, tal vez por primera vez, el desarrollo de personajes humanos con defectos y sujetos a distintos arcos narrativos que llevan cada momento de la historia. Como referencia, se tomó una de las muchas invocaciones que hace Quijote de su inmortal amada, Dulcinea del Toboso.",,,/media/img/mazo/h_03_dama.jpg,/media/img/plantilla/03_dama.jpg,/media/img/galeria/g_03_dama.jpg,4
4,catrín,"Poeta, crítico y traductor, Charles Baudelaire (1821-1867) es una de las voces más significativas en el panorama de las letras francesas y del mundo. Su talento, fuerza y agudeza crítica le colocan como uno de sus autores más importantes. La referencia es tomada de Cohetes, su diario.",,,/media/img/mazo/h_04_catrin.jpg,/media/img/plantilla/04_catrin.jpg,/media/img/galeria/g_04_catrin.jpg,6
5,paraguas,"Isiodore Lucien Ducasse (1846-1870), uruguayo de nacimiento y francés por tradición, firmó su obra con el seudónimo Conde de Lautréamont. Hijo de un diplomático francés, su fugaz paso por el mundo dejó una marca indeleble, aunque no gozara de fama en su tiempo. Su obra es revalorada por los autores del movimiento vanguardista del Surrealismo y, en América, por escritores como Alejo Carpentier. La referencia es extraída de su obra más famosa, Los cantos de Maldoror.",,,/media/img/mazo/h_05_paraguas.jpg,/media/img/plantilla/05_paraguas.jpg,/media/img/galeria/g_05_paraguas.jpg,8
6,sirena,"La Odisea es uno de los dos grandes poemas épicos atribuidos a la figura de Homero (ca. siglo VIII a. C.). El pasaje es tomado del encuentro de Odiseo y su tripulación con la figura de las sirenas. Advertido por Circe, Odiseo, deseoso de escuchar el canto maravilloso de aquellas criaturas, es atado al mástil de la embarcación, mientras sus tripulantes prosiguen el viaje con los oídos cubiertos de cera. Este relato sirve de origen a muchas expresiones y construcciones simbólicas sobre las sirenas y su canto. La ilustración se creó como homenaje al surrealista René Magrite, y su cuadro, La invención colectiva. En ella, se invierte la configuración de la criatura, con torso de pez y piernas de mujer.",,,/media/img/mazo/h_06_sirena.jpg,/media/img/plantilla/06_sirena.jpg,/media/img/galeria/g_06_sirena.jpg,6
7,escalera,"Los Libros del Chilam Balam son parte de la herencia que sobrevive de nuestra tradición maya. Escritos después de la Conquista, es posible detectar elementos de censura y la influencia de la Iglesia católica. Cada comunidad creó su propio libro; la referencia es tomada de El Chilam Balam de Chumayel, uno de los libros más famosos dado que fue el que sobrevivió con un contenido más completo.",,,/media/img/mazo/h_07_escalera.jpg,/media/img/plantilla/07_escalera.jpg,/media/img/galeria/g_07_escalera.jpg,8
8,botella,"Arthut Rimbaud (1854-1891) fue uno de los grandes jóvenes maestros de la poesía francesa. Comenzó su carrera a los 15 años y la abandonó para siempre a los 20. Su huella, sin embargo, es innegable. Su verso vibrante, su copiosa producción, su perspicaz ingenio y el impacto de su voz sirven aún hoy de modelo y para la reflexión.",,,/media/img/mazo/h_08_botella.jpg,/media/img/plantilla/08_botella.jpg,/media/img/galeria/g_08_botella.jpg,7
9,balón,"La referencia es tomada del título del libro de ensayos y reflexiones en torno al futbol de Juan Villoro (1956-). Narrador y ensayista, ha sido galardonado con prestigiosos premios tanto literarios como periodísticos. También ha impartido clases de literatura en universidades de distintos países.",,,/media/img/mazo/h_09_balon.jpg,/media/img/plantilla/09_balon.jpg,/media/img/galeria/g_09_balon.jpg,5
10,árbol,"Refrán popular mexicano. Los refranes son construcciones breves, muchas veces rimadas o con otros elementos metafóricos o poéticos, que pretenden ilustrar un punto. Al ser tan conocidas, estas sentencias tienden a ser consideradas como una ""verdad"" popular. Este refrán tiene muchas variantes, pero ésta es quizás la más común.",,,/media/img/mazo/h_10_arbol.jpg,/media/img/plantilla/10_arbol.jpg,/media/img/galeria/g_10_arbol.jpg,5
11,maestro,"Cita atribuida al matemático y filósofo griego Pitágoras de Samos (ca. 580 a. C.- ca. 495 a. C.), famoso por su teorema y sus distintas aportaciones a la ciencia. Maestro de la oralidad, su pensamiento sobrevivió, como el de Buda, Jesús o Sócrates, a partir de sus discípulos. Su influencia abarcó las matemáticas, la astronomía y la música.",,,/media/img/mazo/h_11_maestro.jpg,/media/img/plantilla/11_maestro.jpg,/media/img/galeria/g_11_maestro.jpg,7
