idDiminutivo,diminutivo,idCarta
1,gallito,1
2,gallillo,1
3,gallico,1
4,gallete,1
5,gallín,1
6,galluco,1
7,diablito,2
8,diablillo,2
9,diablico,2
10,diablete,2
11,diablín,2
12,diabluco,2
13,damita,3
14,damilla,3
15,damica,3
16,dameta,3
17,damina,3
18,damuca,3
19,catrincito,4
20,catrincillo,4
21,catrincico,4
22,catrinete,4
23,catrinín,4
24,catrinuco,4
25,paragüitas,5
26,paragüillas,5
27,paraguasico,5
28,paraguasete,5
29,paragüín,5
30,paraguasuco,5
31,sirenita,6
32,sirenilla,6
33,sirenica,6
34,sireneta,6
35,sirenina,6
36,sirenuca,6
37,escalerita,7
38,escalerilla,7
39,escalerica,7
40,escalereta,7
41,escalerina,7
42,escaleruca,7
43,botellita,8
44,botellilla,8
45,botellica,8
46,botelleta,8
47,botellina,8
48,botelluca,8
49,baloncito,9
50,baloncillo,9
51,baloncico,9
52,baloncete,9
53,baloncino,9
54,balonuco,9
55,arbolito,10
56,arbolillo,10
57,arbolico,10
58,arbolete,10
59,arbolín,10
60,arboluco,10
61,maestrito,11
62,maestrillo,11
63,maestrico,11
64,maestrete,11
65,maestrín,11
66,maestruco,11
67,valientito,12
68,valientillo,12
69,valientico,12
70,valientete,12
71,valientín,12
72,valientuco,12
73,gorrito,13
74,gorrillo,13
75,gorrico,13
76,gorrete,13
77,gorrín,13
78,gorruco,13
79,muertecita,14
80,muertecilla,14
81,muertica,14
82,muerteta,14
83,muertina,14
84,muertuca,14
85,muertita,14
86,burocratito,15
87,burocratillo,15
88,burocratico,15
89,burocratete,15
90,burocratín,15
91,burocratuco,15
92,banderita,16
93,banderilla,16
94,banderica,16
95,bandereta,16
96,banderín,16
97,banderuca,16
98,metrito,17
99,metrillo,17
100,metrico,17
101,metrete,17
102,metrín,17
103,metruco,17
104,ladroncito,18
105,ladroncillo,18
106,ladroncico,18
107,ladroncete,18
108,ladroncín,18
109,ladronuco,18
110,padrecito,19
111,padrecillo,19
112,padrecico,19
113,padrecete,19
114,padrecín,19
115,padruco,19
116,pajarito,20
117,pajarillo,20
118,pajarico,20
119,pajarete,20
120,pajarín,20
121,pajaruco,20
122,manita,21
123,manilla,21
124,manica,21
125,maneta,21
126,manina,21
127,manuca,21
128,botita,22
129,botilla,22
130,botica,22
131,boteta,22
132,botín,22
133,botuca,22
134,botina,22
135,lunita,23
136,lunilla,23
137,lunica,23
138,luneta,23
139,lunina,23
140,lunuca,23
141,cotorrito,24
142,cotorrillo,24
143,cotorrico,24
144,cotorrete,24
145,cotorrín,24
146,cotorruco,24
147,borrachito,25
148,borrachillo,25
149,borrachico,25
150,borrachete,25
151,borrachín,25
152,borrachuco,25
153,poetita,26
154,poetilla,26
155,poetico,26
156,poetete,26
157,poetín,26
158,poetuco,26
159,corazoncito,27
160,coranzoncillo,27
161,corazoncico,27
162,corazoncete,27
163,corazonín,27
164,corazonuco,27
165,cigarrito,28
166,cigarrillo,28
167,cigarrico,28
168,cigarrete,28
169,cigarrín,28
170,cigarruco,28
171,tamborcito,29
172,tamborcillo,29
173,tamborcico,29
174,tamborcete,29
175,tamborín,29
