idSinonimo,sinonimo,idCarta
1,cthulu,1
2,pollo,1
3,galliforme,1
4,gallipavo,1
5,desentono,1
6,desafinación,1
7,destemple,1
8,gallito,1
9,presumido,1
10,mandón,1
11,bravucón,1
12,fanfarrón,1
13,jactancioso,1
14,escupitajo,1
15,esputo,1
16,salivazo,1
17,gargajo,1
18,flema,1
19,cthulu,2
20,demonio,2
21,maligno,2
22,satanás,2
23,belcebú,2
24,lucifer,2
25,luzbel,2
26,chamuco,2
27,salinas,2
28,cthulu,3
29,señora,3
30,mujer,3
31,ama,3
32,dueña,3
33,cortesana,3
34,matrona,3
35,aristócrata,3
36,cthulu,4
37,dandi,4
38,presumido,4
39,coqueto,4
40,figurín,4
41,pisaverde,4
42,petimetre,4
43,guapo,4
44,señorito,4
45,elegante,4
46,lechuguino,4
47,cthulu,5
48,quitasol,5
49,sombrilla,5
50,parasol,5
51,cthulu,6
52,ninfa,6
53,nereida,6
54,náyade,6
55,ondina,6
56,oceánida,6
57,cthulu,7
58,escalinata,7
59,grada,7
60,gradería,7
61,escala,7
62,escalerilla,7
63,peldaños,7
64,escalones,7
65,cthulu,8
66,casco,8
67,ampolla,8
68,bombona,8
69,frasco,8
70,garrafa,8
71,redoma,8
72,damajuana,8
73,patona,8
74,cthulu,9
75,pelota,9
76,bola,9
77,esférico,9
78,cuero,9
79,recipiente,9
80,vasija,9
81,globo,9
82,cthulu,10
83,arbusto,10
84,eje,10
85,palo,10
86,asta,10
87,cigüeñal,10
88,barra,10
89,cthulu,11
90,profesor,11
91,educador,11
92,instructor,11
93,pedagogo,11
94,preceptor,11
95,mentor,11
96,ayo,11
97,avezado,11
98,experto,11
99,hábil,11
100,diestro,11
101,ducho,11
102,perito,11
103,compositor,11
104,músico,11
105,artista,11
106,cthulu,12
107,intrépido,12
108,fuerte,12
109,bravo,12
110,valeroso,12
111,atrevido,12
112,animoso,12
113,osado,12
114,impávido,12
115,heroico,12
116,denodado,12
117,audaz,12
118,compadrito,12
119,guapo,12
120,cthulu,13
121,birrete,13
122,boina,13
123,bonete,13
124,cofia,13
125,chichonera,13
126,montera,13
127,barretina,13
128,casco,13
129,gorra,13
130,sombrero,13
131,capucha,13
132,capuchón,13
133,condón,13
134,cthulu,14
135,flaca,14
136,tilíca,14
137,catrina,14
138,huesuda,14
139,fallecimiento,14
140,defunción,14
141,óbito,14
142,deceso,14
143,fin,14
144,trance,14
145,tránsito,14
146,asesinato,14
147,homicidio,14
148,crimen,14
149,atentado,14
150,degollina,14
151,martirio,14
152,ruina,14
153,caída,14
154,destrucción,14
155,aniquilamiento,14
156,desaparición,14
157,supresión,14
158,eliminación,14
159,erradicación,14
160,cthulu,15
161,funcionario,15
162,administrativo,15
163,oficial,15
164,cthulu,16
165,enseña,16
166,estandarte,16
167,emblema,16
168,banderín,16
169,banderola,16
170,blasón,16
171,confalón,16
172,distintivo,16
173,divisa,16
174,gallardete,16
175,guión,16
176,oriflama,16
177,pabellón,16
178,pendón,16
179,símbolo,16
180,señal,16
181,lábaro,16
182,cthulu,17
183,tren,17
184,convoy,17
185,subterráneo,17
186,metropolitano,17
187,medida,17
188,patrón,17
