idRecord,record,fecha,idScore,idEstadoPartida
1,4000,2013-10-08 08:58:42,1,1
2,4000,2013-10-08 09:00:09,2,4
3,3000,2013-10-08 09:01:36,3,4
4,23000,2013-10-08 09:03:03,4,1
5,1000,2013-10-08 09:04:30,5,4
6,14000,2013-10-08 09:05:57,6,1
7,15000,2013-10-08 09:07:24,7,1
8,15000,2013-10-08 09:08:51,8,3
9,16000,2013-10-08 09:10:18,9,1
10,7000,2013-10-08 09:11:45,10,3
11,25000,2013-10-08 09:13:12,11,1
12,1000,2013-10-08 09:14:39,12,3
13,9000,2013-10-08 09:16:06,13,1
14,22000,2013-10-08 09:17:33,14,2
15,3000,2013-10-08 09:19:00,15,2
16,29000,2013-10-08 09:20:27,16,2
17,19000,2013-10-08 09:21:54,17,3
18,16000,2013-10-08 09:23:21,18,1
19,4000,2013-10-08 09:24:48,19,2
20,19000,2013-10-08 09:26:15,20,3
21,25000,2013-10-08 09:27:42,21,4
22,5000,2013-10-08 09:29:09,22,4
23,15000,2013-10-08 09:30:36,23,4
24,1000,2013-10-08 09:32:03,24,2
25,24000,2013-10-08 09:33:30,25,3
26,15000,2013-10-08 09:34:57,26,1
27,26000,2013-10-08 09:36:24,27,4
28,23000,2013-10-08 09:37:51,28,4
29,12000,2013-10-08 09:39:18,29,3
30,28000,2013-10-08 09:40:45,30,1
31,15000,2013-10-08 09:42:12,31,4
32,3000,2013-10-08 09:43:39,32,3
33,4000,2013-10-08 09:45:06,33,4
34,17000,2013-10-08 09:46:33,34,4
35,28000,2013-10-08 09:48:00,35,1
36,1000,2013-10-08 09:49:27,36,2
37,16000,2013-10-08 09:50:54,37,2
38,2000,2013-10-08 09:52:21,38,3
39,20000,2013-10-08 09:53:48,39,4
40,13000,2013-10-08 09:55:15,40,3
41,18000,2013-10-08 09:56:42,41,4
42,9000,2013-10-08 09:58:09,42,3
43,22000,2013-10-08 09:59:36,43,1
44,13000,2013-10-08 10:01:03,44,1
45,22000,2013-10-08 10:02:30,45,2
46,9000,2013-10-08 10:03:57,46,1
47,9000,2013-10-08 10:05:24,47,2
48,22000,2013-10-08 10:06:51,48,2
49,5000,2013-10-08 10:08:18,49,2
50,9000,2013-10-08 10:09:45,50,1
51,14000,2013-10-08 10:11:12,51,2
52,14000,2013-10-08 10:12:39,52,4
53,19000,2013-10-08 10:14:06,53,3
54,20000,2013-10-08 10:15:33,54,2
55,10000,2013-10-08 10:17:00,55,1
56,27000,2013-10-08 10:18:27,56,4
57,28000,2013-10-08 10:19:54,57,1
58,16000,2013-10-08 10:21:21,58,3
59,8000,2013-10-08 10:22:48,59,4
60,23000,2013-10-08 10:24:15,60,4
61,9000,2013-10-08 10:25:42,61,1
62,6000,2013-10-08 10:27:09,62,3
63,14000,2013-10-08 10:28:36,63,4
64,3000,2013-10-08 10:30:03,64,3
65,8000,2013-10-08 10:31:30,65,2
66,24000,2013-10-08 10:32:57,66,3
67,23000,2013-10-08 10:34:24,67,1
68,21000,2013-10-08 10:35:51,68,2
